l = 1564.
Q Cache of size 1000MB storing 1564 rows.
SMO (2D) selected.
Iteration 1, WS = [432, 1056], MinDeltaObj = -2265.979457492955, Gmax = 61.47, Gmin = 1, DeltaGradient = 60.47, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 2 (#BSV = 2)
Iteration 92, WS = [243, 825], MinDeltaObj = -374.73174346315477, Gmax = 41.186396127538835, Gmin = 24.35020657475233, DeltaGradient = 16.836189552786504, 2D Update: i = 78.10887363959151 -> 100, j = 46.69033252892651 -> 68.58145888933501, #SV = 140 (#BSV = 110)
Iteration 93, WS = [416, 1251], MinDeltaObj = -405.8785875077883, Gmax = 38.88516663190342, Gmin = 24.812590674861195, DeltaGradient = 14.072575957042222, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 142 (#BSV = 112)
Iteration 94, WS = [256, 1241], MinDeltaObj = -929.5727107841407, Gmax = 38.196897969841274, Gmin = 21.343722362627986, DeltaGradient = 16.853175607213288, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 144 (#BSV = 114)
Iteration 95, WS = [226, 1203], MinDeltaObj = -350.6731432097187, Gmax = 37.61058282209037, Gmin = 20.94772802679074, DeltaGradient = 16.66285479529963, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 146 (#BSV = 116)
Iteration 96, WS = [596, 1367], MinDeltaObj = -281.5031205714088, Gmax = 42.75152308219411, Gmin = 20.3298603828623, DeltaGradient = 22.42166269933181, 2D Update: i = 38.60075323281726 -> 63.71067700129834, j = 25.558085483605765 -> 50.66800925208685, #SV = 146 (#BSV = 116)
Iteration 97, WS = [407, 1075], MinDeltaObj = -242.7503832874724, Gmax = 36.36665080584884, Gmin = 22.89921773755604, DeltaGradient = 13.467433068292802, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 148 (#BSV = 118)
Iteration 98, WS = [195, 1545], MinDeltaObj = -2078.110142388406, Gmax = 37.22367579712117, Gmin = 19.009018079413387, DeltaGradient = 18.21465771770778, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 150 (#BSV = 120)
Iteration 99, WS = [279, 1266], MinDeltaObj = -1305.5252217058198, Gmax = 37.669530736129644, Gmin = 18.307538200584148, DeltaGradient = 19.361992535545497, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 152 (#BSV = 122)
Iteration 100, WS = [615, 1100], MinDeltaObj = -618.7117025454606, Gmax = 37.00158267190817, Gmin = 15.094571845487302, DeltaGradient = 21.907010826420866, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 154 (#BSV = 124)
Iteration 101, WS = [292, 825], MinDeltaObj = -479.55581181531244, Gmax = 37.85111155168207, Gmin = 13.917229255992744, DeltaGradient = 23.933882295689322, 2D Update: i = 0 -> 31.41854111066499, j = 68.58145888933501 -> 100, #SV = 155 (#BSV = 125)
