l = 782.
Q Cache of size 1000MB storing 782 rows.
SMO (2D) selected.
Iteration 1, WS = [1, 386], MinDeltaObj = -85.36474416961836, Gmax = 1, Gmin = -1, DeltaGradient = 2, 2D Update: i = 0 -> 85.36474416961836, j = 0 -> 85.36474416961836, #SV = 2 (#BSV = 0)
Iteration 70, WS = [73, 519], MinDeltaObj = -208.19358856394743, Gmax = 18.671612454270978, Gmin = 4.728056046944753, DeltaGradient = 13.943556407326225, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 134 (#BSV = 116)
Iteration 71, WS = [66, 85], MinDeltaObj = -306.2352092075391, Gmax = 18.835345396106767, Gmin = 9.863727595160732, DeltaGradient = 8.971617800946035, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 136 (#BSV = 118)
Iteration 72, WS = [54, 627], MinDeltaObj = -346.4151213067281, Gmax = 19.6659089698353, Gmin = 10.931790687242103, DeltaGradient = 8.734118282593197, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 138 (#BSV = 120)
Iteration 73, WS = [196, 733], MinDeltaObj = -124.8561548529016, Gmax = 20.098851035031227, Gmin = 7.762672628017928, DeltaGradient = 12.3361784070133, 2D Update: i = 53.947051047699304 -> 74.74707623062602, j = 0 -> 20.800025182926717, #SV = 139 (#BSV = 120)
Iteration 74, WS = [102, 386], MinDeltaObj = -271.85995696412294, Gmax = 17.575565105151643, Gmin = 8.445750541226774, DeltaGradient = 9.12981456392487, 2D Update: i = 0 -> 14.635255830381638, j = 85.36474416961836 -> 100, #SV = 140 (#BSV = 121)
Iteration 75, WS = [102, 261], MinDeltaObj = -154.07705379335533, Gmax = 17.402140994572903, Gmin = 9.094706772317, DeltaGradient = 8.307434222255903, 2D Update: i = 14.635255830381638 -> 100, j = 0 -> 85.36474416961836, #SV = 141 (#BSV = 122)
Iteration 76, WS = [567, 43], MinDeltaObj = -103.8732366808737, Gmax = 17.48235608687156, Gmin = 6.3115535062562, DeltaGradient = 11.170802580615362, 2D Update: i = 0 -> 24.338910592321177, j = 24.338910592321177 -> 0, #SV = 141 (#BSV = 122)
Iteration 77, WS = [198, 562], MinDeltaObj = -237.56159186186727, Gmax = 15.864282890802812, Gmin = 8.872032466485575, DeltaGradient = 6.992250424317238, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 143 (#BSV = 124)
Iteration 78, WS = [145, 710], MinDeltaObj = -191.97481702761087, Gmax = 16.34195820470131, Gmin = 6.4601265882066095, DeltaGradient = 9.8818316164947, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 145 (#BSV = 126)
Iteration 79, WS = [105, 460], MinDeltaObj = -621.2187602737512, Gmax = 16.974677628748005, Gmin = 6.720466392425466, DeltaGradient = 10.254211236322538, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 147 (#BSV = 128)
Iteration 80, WS = [58, 284], MinDeltaObj = -318.030507291229, Gmax = 16.72031429682713, Gmin = 6.187725158149032, DeltaGradient = 10.532589138678098, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 149 (#BSV = 130)
Iteration 81, WS = [84, 468], MinDeltaObj = -461.1369235384859, Gmax = 16.555457919707482, Gmin = 7.2824344850762195, DeltaGradient = 9.273023434631263, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 151 (#BSV = 132)
Iteration 82, WS = [242, 251], MinDeltaObj = -148.86073996181395, Gmax = 16.797535515929177, Gmin = 7.100554555924832, DeltaGradient = 9.696980960004344, 2D Update: i = 0 -> 17.43056844120906, j = 82.56943155879094 -> 100, #SV = 152 (#BSV = 133)
Iteration 83, WS = [490, 604], MinDeltaObj = -130.27443431991736, Gmax = 16.29491747876961, Gmin = 7.769653516555076, DeltaGradient = 8.525263962214533, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 154 (#BSV = 135)
Iteration 84, WS = [549, 589], MinDeltaObj = -493.3133984325922, Gmax = 17.86121791497689, Gmin = 4.596268720013407, DeltaGradient = 13.264949194963483, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 156 (#BSV = 137)
Iteration 85, WS = [646, 715], MinDeltaObj = -150.48260231738436, Gmax = 17.564212414469495, Gmin = 5.1558984454127685, DeltaGradient = 12.408313969056726, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 158 (#BSV = 139)
Iteration 86, WS = [731, 492], MinDeltaObj = -449.1678944235794, Gmax = 18.234911187677028, Gmin = 4.930788045552472, DeltaGradient = 13.304123142124556, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 160 (#BSV = 141)
Iteration 87, WS = [218, 619], MinDeltaObj = -179.06018908218596, Gmax = 18.269681373439845, Gmin = 3.1693629504531664, DeltaGradient = 15.100318422986678, 2D Update: i = 20.45954828128723 -> 100, j = 0 -> 79.54045171871277, #SV = 161 (#BSV = 142)
Iteration 88, WS = [362, 257], MinDeltaObj = -203.671642442477, Gmax = 17.283268199675472, Gmin = -1.0077288671903784, DeltaGradient = 18.29099706686585, 2D Update: i = 100 -> 77.7298480014052, j = 0 -> 22.270151998594798, #SV = 162 (#BSV = 141)
Iteration 89, WS = [171, 40], MinDeltaObj = -709.3457479314021, Gmax = 10.593299207919497, Gmin = 3.6492310941036017, DeltaGradient = 6.944068113815895, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 164 (#BSV = 143)
Iteration 90, WS = [592, 660], MinDeltaObj = -100.68038629043319, Gmax = 10.821558635046436, Gmin = 2.4590798485219487, DeltaGradient = 8.362478786524488, 2D Update: i = 0 -> 57.64119568459417, j = 0 -> 57.64119568459417, #SV = 166 (#BSV = 143)
